Grace C.,/user_details?userid=QqTwRvSyj4H6GVdKKkAiUQ,"Chantilly, VA",4/4/2023,5.0,No comment,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emma L.,/user_details?userid=m4BydiOWQXuvp5e-aADxsg,"New York, NY",11/4/2022,5.0,No comment,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kelvin L.,/user_details?userid=Pom7JA3ioNXLrxVwspKflg,"Manhattan, New York, NY",4/9/2023,2.0,No comment,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
KevRock C.,/user_details?userid=HKj5EbKQsg8CB5OwxY9q9A,"Lower East Side, New York, NY",3/6/2023,5.0,No comment,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Madeline A.,/user_details?userid=tl-_haSNLRj0jQSgcgnagw,"New York, NY",11/13/2022,4.0,"Stopped in for happy hour while I waited for a friend. The space inside is cozy and dimly lit. Perfect for a date night spot! Happy hour included two cocktails. No wine was included on their happy hour menu which I was disappointed about. I loved the red wine I ordered (sadly I don't remember the name). Carlos was the bartender and he was great! Really accommodating and speedy with his service. I ordered the spinach artichoke dip which was delicious; came out piping hot with half a baguette. Overall, I'd definitely stop back!",https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bruna B.,/user_details?userid=4NVFAjbKR3ta6_etWoMGnA,"Midtown East, New York, NY",4/8/2023,4.0,"Great service! The plates came really quickly and were both delicious. Also the basil drink smells and tastes fantastic! Just though the music were too loud. Besides that, great!",https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jedsada Y.,/user_details?userid=lLF9x4I41LFFKa_FX-lkbQ,"Astoria, Queens, NY",5/3/2022,4.0,No comment,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica L.,/user_details?userid=5Jyj4eHRlZHtyEWEgT764A,"New York, NY",9/26/2022,4.0,Everything here was pretty good. I really liked the appetizer. Entrees were okay. Would come back here to try their brunch menu. We had their dinner menu.,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
leila r.,/user_details?userid=D5yK4WWj1zl_xXSxUvdp6Q,"Manhattan, New York, NY",4/3/2023,5.0,"We were in a quest for a real croque monsieur and this did not disappoint. Nice food, lovely service and a cool neighborhood vibe. Can't wait to go back!",https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sara V.,/user_details?userid=ivc5dcuivmDzEZ2RKqSukA,"New York, NY",2/27/2023,5.0,"Great local space, intimate and laid back. The meal was delicious and the staff were attentive. Great for a cozy date night or casual dinner with friends.",https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah W.,/user_details?userid=deRm_Nb3ktF5gJkM-Rf9gw,"Palo Alto, CA",1/31/2023,3.0,Got the steak frites and it wasn't very good. Steak was tough and cold.  The ambiance is nice and the service is good too.,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
