Jason M.,/user_details?userid=DjiTQpTqEfCiq2SkMFQWeg,"Midtown East, Manhattan, NY",12/8/2022,5.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nina C.,/user_details?userid=BWt3yY1QzCNgJtR7taHp4A,"New York, NY",3/11/2023,2.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Casey W.,/user_details?userid=Pk5pWlKt7GkDUDtaSYb-NQ,"New York, NY",3/3/2023,4.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John L.,/user_details?userid=aEsJe_Tj5G18w2qetIUDOA,"Birmingham, MI",1/1/2023,4.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nancy W.,/user_details?userid=L9Eh4_OpQ3_Tw2B_mGpa6g,"Palisades Park, NJ",12/22/2022,3.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Heather W.,/user_details?userid=pA2PE9UhQWM-OmxuITFomw,"New York, NY",11/29/2022,3.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Norma R.,/user_details?userid=M3123DVq-ai3MX4iEBr8Iw,"Brooklyn, Brooklyn, NY",2/17/2023,5.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole T.,/user_details?userid=yhZ-fJdtaImuUL-lW6e9-g,"Northwood, Irvine, CA",11/17/2022,5.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tim J.,/user_details?userid=KfZiWVSgnZmTDrF7UW0iKw,"Brooklyn, NY",2/20/2023,4.0,"Decided to check this place out for weekend lunch; the line was long as expected but we got seated in 20-25 minutes. The servers were attentive, refilled our hot teas as often as they can. We ordered various dim sum plates, and beef Lo Mein, which were flavorful and filling. There are a lot of options nearby, but this is definitely one good options to consider when you are debating about which one to check out!",https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Beth S.,/user_details?userid=-tL6ekPblIWosbgirGgfew,"Beaver Falls, PA",12/2/2022,4.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jonathan C.,/user_details?userid=7phFwiU4u175CkVfl0BW2A,"Los Angeles, CA",1/17/2023,4.0,"I recently dined at Dim Sum Palace with a group of 2 and the wait time was 45 minutes on a weekday. While the wait was a bit long, all the food was fresh and well worth it. The restaurant has a unique ordering system where you can mark off your food choices on a menu at the table and then give it to your waiter or waitress. The prices were a little more expensive than other dim sum places I've been to, but not too bad for the quality of food. The atmosphere of the restaurant is good, and the service is friendly. All in all, I would recommend Dim Sum Palace for fresh, high-quality dim sum, but be prepared for a wait during peak hours.",https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Najwa G.,/user_details?userid=o9hU7o_3Kndp882PpLDcSg,"Queens, Queens, NY",10/12/2022,2.0,"Dim Sum Palace definitely does not live up to it's name.  Most things on the menu were mediocre and overpriced.  On top of all this, they charged us for a bunch of items that didn't even come.  I would not return.",https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Steve A.,/user_details?userid=tgeFUChlh7v8bZFVl2-hjQ,"Aurora, IL",12/23/2021,4.0,No comment,https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrea S.,/user_details?userid=KiQJ0nrhM-fLdGmpsQSFCg,"Philadelphia, PA",12/31/2022,5.0,"This was my first time at this location and I took my family who loved it. It felt very welcoming and homey. The service was quick and efficient. The food is authentic. The best dim sum we've had in NYC. There's so many to dim sum options to pick from and I love that the menu has pictures and you write how many orders you want. Our favorites include bbq pork bun, soup dumplings, taro buns, and sesame balls.  Definitely will be back to try them all.",https://www.yelp.com/biz/dim-sum-palace-new-york-9?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
