Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
Dave D.,/user_details?userid=eICeYMUK7NCIfb2Qa8OoeA,"Brooklyn, NY",3/14/2023,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lily S.,/user_details?userid=1uaKvhQTHmWAIlt3GXpF6g,"San Francisco, CA",3/1/2023,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jody L.,/user_details?userid=DvOpV-rYNvxWUek9bpdkog,"Brooklyn, NY",12/5/2022,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris S.,/user_details?userid=vW1utzt5QQYXCZ5vijrAMw,"New York, NY",2/15/2023,4.0,"Dropped by here for lunch. It was pretty empty though I could tell they were getting lots of pickup orders. You can order takeout at the counter or sit down to eat. I sat down and ordered the Beijing Street Noodles. The portion was honestly pretty big - lots of noodles, minced pork, and shredded cucumbers. Didn't notice the black bean sauce but overall pretty good. Overall, pretty straightforward place with nice portions and good prices for Williamsburg ($12 for this). Would definitely recommend and try the rest of their menu.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole B.,/user_details?userid=e4hd3J5hDY9YnxbbXq8-Cw,"Brooklyn, NY",2/8/2023,3.0,"This was a nice spot in Williamsburg that i walked into. The food was okay, they have a happy hour that is pretty good. I tried the crispy chicken wings with soy garlic sauce, a mint mojito, and a scallion pancake. The wings were okay. They were crispy but the sauce didn't do it for me. I've had better soy garlic sauce. Also, you can't take the happy hour food to go. It must be eaten in the establishment which is okay. The ambiance was cool. It was a cool mixture of hip hop, pop and R&B. They have a couple tables where you can dine in. The service was just okay. The lady at the counter was busy doing other things each time we approached the counter. So it wasn't the best service. I asked a question about one of the food items and decided against it by the way she described it. It was almost as if we were disturbing her. I hate that feeling. All in all, this place was just okay. I don't think I'll return tho. I'm sure there's better bao buns down Bedford. See pics below",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hiral P.,/user_details?userid=0Nrv9X8J_vSVoA55NmtmcQ,"New York, NY",11/22/2022,3.0,Very average place for dumplings. The xiao long bao wasn't amazing and I wouldn't get it here again. The curry fried rice was also ok. The service was very meh. They got annoyed because we asked for extra utensils/plates which was kinda of off putting and felt kinda cheap.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kadeesha L.,/user_details?userid=t0yamaWKaSInp6AoVPmJZA,"Brooklyn, Brooklyn, NY",10/28/2022,4.0,"Mr. bao has been popping up everywhere! And this location is open late so it's perfect for a bite after a night out. Fast service, good amount if seating. Food comes out hot! The buns are chewy and soft as they should be! Check this place out for a quick bite. They also offer takeout on several platforms. My favorite is the duck bao buns. They are so chewy and soft yet a meaty- nice balance.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Caroline D.,/user_details?userid=aq-l9CMUuePj0JvhO3hvMw,"Brooklyn, NY",1/1/2023,5.0,"I've ordered delivery a few times from here & it's always been so good, fresh, and relatively well priced. My personal favorites have been the shrimp dumplings (the dipping sauce is excellent) as well as the scallion pancakes - which are perfectly crispy and chewy. They also get bonus points because they're open late for those wee hour cravings!",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mark B.,/user_details?userid=sJK5DqfHen5wEfvTjhWI5w,"Palm Springs, CA",12/21/2022,4.0,"Solid Dim Sum available until 2am. I recommend the pork fried dumplings, the shrimp dumplings. The popcorn ship had a great seasoning on it, and the green beans were perfect. Really impressive that they make everything fresh and homemade.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bre Y.,/user_details?userid=A-ed1j8lfnUpdlglwmfUnQ,"Brooklyn, NY",5/3/2022,4.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marisa L.,/user_details?userid=mJbSn-Av4gnux0QkvE5uVg,"Brooklyn, NY",8/23/2021,4.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joy S.,/user_details?userid=t092Y81R538xl91XS3Dvtg,"New York, NY",2/13/2022,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christine L.,/user_details?userid=Zhsp5H_cQ-wb1n9UqM9cbw,"Brooklyn, Brooklyn, NY",7/7/2022,4.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Beighlie O.,/user_details?userid=h6WF1BJfscDRd9TTaxlcJQ,"Fort Worth, TX",8/8/2022,5.0,"I had an appointment in New York and stopped in here before heading to catch my flight back to Texas. I eat a LOT of Asian food, and can solidly recommend Mr Bao! Service was efficient and friendly, the food was amazing (especially the pork XLB), and they had the white peach soda I can't seem to ever find. I can't wait until we come back to New York so I can bring my boyfriend!",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica C.,/user_details?userid=medOlgOFt-w5O4nZC292Tg,"Richmond Hill, NY",12/24/2022,5.0,So good and the delivery came early! It's one of the few places that offer delivery in this area late at night!,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jazmin W.,/user_details?userid=GJiXBqYZ4RK1elQstr--QA,"Brooklyn, NY",8/28/2022,2.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Erika H.,/user_details?userid=D4b6wZoH5gFVTnXjf1iIQw,"Manhattan, NY",10/12/2022,1.0,"Here is a photo of the moldy chopsticks I received with my food delivery from Mr Bao today. I obviously didn't eat the food, didn't ask for a refund just glad I saw the chopsticks. Be advised that health inspections haven't been happening regularly after Covid. Be safe out there. I'm not the Yelp reviewer type but this definitely had me",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex L.,/user_details?userid=03p8zXkWRammSu76kGzb6g,"New York, NY",11/10/2022,5.0,"I have gotten about half the menu at this point & it's basically all good. No matter what I get, I always add the steamed soup dumplings & then usually have leftovers of whatever else I got. The braised beef is great & all those bowls have a jammy soy sauce egg that makes everything better.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joe M.,/user_details?userid=ed-2659oZe1wm3upon7htg,"New York, NY",12/9/2022,1.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabrielle P.,/user_details?userid=LbslaPySchtzbul2N3G2hQ,"Syosset, NY",2/7/2022,5.0,Perfect place to get a quick meal before going out! I came here on Saturday night and only had to wait 10 mins for a table. Dumplings were delicious and pork and rice dish was great. Prices are really reasonable! Would def come back,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shawn S.,/user_details?userid=gJA6NyTA1e0hhgQ18xUleA,"Los Angeles, CA",7/28/2022,5.0,"Everything i got hit just right!!! The spicy soup dumplings, shrimp, pork and mushroom dumplings with the Szechuan sauce  and the popcorn fried chicken. All come with very tasty sauces. Open late. What else you want. Eat it there hot and ready and youll be extra happy",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vinny B.,/user_details?userid=WpCBYhr4g6I-NvSDMyY8sQ,"Scranton, PA",11/7/2022,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sam S.,/user_details?userid=7Ry0lORZ1_wdsGH-x4zSwA,"Brooklyn, NY",8/17/2021,4.0,"If you're in the mood for fried food, this is the place to go. We got popcorn chicken, fried calamari, fried dumplings, and more. It all really hit the spot, although I did feel a bit guilty after eating it.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sharon R.,/user_details?userid=kjjgLpwJFggmKH3IQ57Cdw,"Silver Spring, MD",11/16/2021,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
C W.,/user_details?userid=DgBCOybKLlnP-VZ6-g3OgA,"Brooklyn, NY",9/3/2022,5.0,"Great food, the soup dumplings are good, especially  the pan fried ones. Rice box is nice, highly recommended.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Fiona C.,/user_details?userid=JeBZRjdOKupdaMHgm3AD9w,"Bayside, Queens, NY",6/20/2022,1.0,"0 stars if I could, made my stomach hurt  and the beef noodle soup was so bad. Wouldn't recommend",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nil T.,/user_details?userid=UM4PgOIuwKHmoM7egDkASA,"Brooklyn, NY",11/28/2021,5.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nina D.,/user_details?userid=w0I5-q_g7r-n4EQEBwoOGA,"Brooklyn, NY",3/4/2022,4.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Them D.,/user_details?userid=CjtPFSrCuEcTFB-AJE6eYA,"Brooklyn, Brooklyn, NY",12/5/2022,5.0,"I love this place starting off with duck wrap! Omg I can have this every day,very delicious second of all the spicy noodles you have to try it,i usually door dash from here so all I have to do is shake my noodle in the container and bam  right offf with the spicy ! Hmmm the beef noodle soup love it as well but I wished they had a different type of noodle like glass noodle or a thinner noodle ,the noodles they use are to starchy and get stuck to together when put on the go container,to thick to pick up with chopsticks but over all YUMMy!",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kali P.,/user_details?userid=Vb5BbsHs4KHMZj5TBeCypg,"Brooklyn, Brooklyn, NY",1/18/2022,5.0,"Their Braised short rid is fawking  i got the short rib bowl with rice and garlic cucumber and side of their garlic string beans and damn ! So happy and content, the string beans are perfect never soggy ! Deff a 5 thumbs up and good packaging and sweet staff, sorry i started eating the bowlbefore the pic lol",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
T T.,/user_details?userid=fRXVnYMaLpNy4EWDZGwEvg,"Brooklyn, NY",12/24/2021,1.0,really wanted a light meal and ordered a vegetable soup. It was super salty and impossible to drink. I have no idea where is the vegetable besides the few pieces floating on top. I paid 5 bucks for this and it is very disappointing.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yinger P.,/user_details?userid=-ZtJL8d32tHVhFbItRYFmw,"Brooklyn, NY",10/2/2021,5.0,"Been there a once a while back, love all those small plates.  The place is pretty small with attentive service and good food. I  will definitely go back for more soup dumplings.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Phenpatson L.,/user_details?userid=f6Zof7wj5g7mIJCyY2Dd8Q,"New York, NY",5/17/2022,5.0,"This is one of my favorite Chinese dim sum restaurants in Williamsburg I've ever been to! And I've been all over the world including to China! The Chef Special was phenomenal!  The soup dumplings were top notch! I'm obsessed with the Chrysanthemum tea too. Kiki, our server was the best. She is so kind and polite. I highly recommend it",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Abigail H.,/user_details?userid=KfO8LNxjJuAeay5gtZ6Ynw,"Staten Island, NY",7/30/2022,4.0,Super good place I came here with my friend after we looked around. I love soup dumplings so I got the pork crab soup dumpling it was super good. It's not as the best as compared to the ones I go at China town but still great,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Allie O.,/user_details?userid=h6u9p4s-2045TwcyCl-ZEQ,"New York, NY",6/25/2022,5.0,This place is totally on point re food and the people who work there are wonderful!!  I always enjoy the experience whether sitting in or taking out.  My personal opinion is the vegan spring rolls are tops in the neighborhood!,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Josh O.,/user_details?userid=od6-_qXAS2EgM5kPr_dauA,"Manhattan, NY",11/5/2022,5.0,"Amazing. Best soup dumplings in Brooklyn. Had an amazing time, staff is great- I definitely recommend to anyone who is in Brooklyn to try them out",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tristan P.,/user_details?userid=w-xhGh_nSCmoxhq-rciQIw,"New York, NY",8/21/2021,5.0,"Chef's dumplings, short rib guabao, roasted duck wrap should be on every single order. Don't pay attention to how it looks from the outside, the food is really really tasty.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jean H.,/user_details?userid=xoS3ka6gEEJhNMTUs3X_5g,"Evansville, IN",11/28/2021,4.0,"Ordered take out. I got the create your own - jasmine rice, wild mushroom & salt & pepper shrimp. The shrimp had very good flavor. I was a little surprised by the mushroom. I was expecting something different but overall it still taste good. It reminds me of seaweed.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
